filename,date_obs,date_jd,rv_sun,rv_error
neidL2_20210207T222937.fits,2/7/21 22:29,2459253.433,-0.6634,2.00E-04
neidL2_20210207T222804.fits,2/7/21 22:28,2459253.432,-0.665,2.00E-04
neidL2_20210207T222631.fits,2/7/21 22:26,2459253.431,-0.664,2.00E-04
neidL2_20210207T222457.fits,2/7/21 22:24,2459253.429,-0.6628,2.00E-04
neidL2_20210207T222324.fits,2/7/21 22:23,2459253.428,-0.6648,2.00E-04
neidL2_20210207T222150.fits,2/7/21 22:21,2459253.427,-0.664,2.00E-04
neidL2_20210207T222017.fits,2/7/21 22:20,2459253.426,-0.6634,2.00E-04
neidL2_20210207T221843.fits,2/7/21 22:18,2459253.425,-0.6506,3.00E-04
neidL2_20210207T221710.fits,2/7/21 22:17,2459253.424,-0.671,3.00E-04
neidL2_20210207T221536.fits,2/7/21 22:15,2459253.423,-0.6621,3.00E-04
neidL2_20210207T221402.fits,2/7/21 22:14,2459253.422,-0.6423,4.00E-04
neidL2_20210207T221229.fits,2/7/21 22:12,2459253.421,-0.6679,4.00E-04
neidL2_20210207T221055.fits,2/7/21 22:10,2459253.42,-0.6721,3.00E-04
neidL2_20210207T220921.fits,2/7/21 22:09,2459253.419,-0.6846,3.00E-04
neidL2_20210207T220748.fits,2/7/21 22:07,2459253.417,-0.6745,3.00E-04
neidL2_20210207T220615.fits,2/7/21 22:06,2459253.416,-0.6614,2.00E-04
neidL2_20210207T220442.fits,2/7/21 22:04,2459253.415,-0.6643,2.00E-04
neidL2_20210207T220308.fits,2/7/21 22:03,2459253.414,-0.6642,2.00E-04
neidL2_20210207T220135.fits,2/7/21 22:01,2459253.413,-0.6626,2.00E-04
neidL2_20210207T220002.fits,2/7/21 22:00,2459253.412,-0.6634,2.00E-04
neidL2_20210207T215829.fits,2/7/21 21:58,2459253.411,-0.664,2.00E-04
neidL2_20210207T215656.fits,2/7/21 21:56,2459253.41,-0.6637,2.00E-04
neidL2_20210207T215522.fits,2/7/21 21:55,2459253.409,-0.6634,2.00E-04
neidL2_20210207T215349.fits,2/7/21 21:53,2459253.408,-0.6629,2.00E-04
neidL2_20210207T215215.fits,2/7/21 21:52,2459253.407,-0.6637,2.00E-04
neidL2_20210207T215042.fits,2/7/21 21:50,2459253.406,-0.6648,2.00E-04
neidL2_20210207T214908.fits,2/7/21 21:49,2459253.405,-0.6617,2.00E-04
neidL2_20210207T214735.fits,2/7/21 21:47,2459253.403,-0.6617,2.00E-04
neidL2_20210207T214601.fits,2/7/21 21:46,2459253.402,-0.6645,2.00E-04
neidL2_20210207T214427.fits,2/7/21 21:44,2459253.401,-0.6632,2.00E-04
neidL2_20210207T214253.fits,2/7/21 21:42,2459253.4,-0.6611,2.00E-04
neidL2_20210207T214120.fits,2/7/21 21:41,2459253.399,-0.6642,2.00E-04
neidL2_20210207T213946.fits,2/7/21 21:39,2459253.398,-0.6635,2.00E-04
neidL2_20210207T213812.fits,2/7/21 21:38,2459253.397,-0.6626,2.00E-04
neidL2_20210207T213639.fits,2/7/21 21:36,2459253.396,-0.6631,2.00E-04
neidL2_20210207T213506.fits,2/7/21 21:35,2459253.395,-0.6639,2.00E-04
neidL2_20210207T213333.fits,2/7/21 21:33,2459253.394,-0.6634,2.00E-04
neidL2_20210207T213159.fits,2/7/21 21:31,2459253.393,-0.6633,2.00E-04
neidL2_20210207T213025.fits,2/7/21 21:30,2459253.392,-0.6635,2.00E-04
neidL2_20210207T212852.fits,2/7/21 21:28,2459253.39,-0.6634,2.00E-04
neidL2_20210207T212718.fits,2/7/21 21:27,2459253.389,-0.6638,2.00E-04
neidL2_20210207T212544.fits,2/7/21 21:25,2459253.388,-0.6641,2.00E-04
neidL2_20210207T212411.fits,2/7/21 21:24,2459253.387,-0.6628,2.00E-04
neidL2_20210207T212238.fits,2/7/21 21:22,2459253.386,-0.6636,2.00E-04
neidL2_20210207T211947.fits,2/7/21 21:19,2459253.384,-0.6629,2.00E-04
neidL2_20210207T211814.fits,2/7/21 21:18,2459253.383,-0.6626,2.00E-04
neidL2_20210207T211641.fits,2/7/21 21:16,2459253.382,-0.6628,2.00E-04
neidL2_20210207T211507.fits,2/7/21 21:15,2459253.381,-0.6631,2.00E-04
neidL2_20210207T211334.fits,2/7/21 21:13,2459253.38,-0.6619,2.00E-04
neidL2_20210207T211200.fits,2/7/21 21:12,2459253.379,-0.6635,2.00E-04
neidL2_20210207T211027.fits,2/7/21 21:10,2459253.378,-0.664,2.00E-04
neidL2_20210207T210853.fits,2/7/21 21:08,2459253.377,-0.6621,2.00E-04
neidL2_20210207T210720.fits,2/7/21 21:07,2459253.376,-0.6628,2.00E-04
neidL2_20210207T210547.fits,2/7/21 21:05,2459253.374,-0.6639,2.00E-04
neidL2_20210207T210413.fits,2/7/21 21:04,2459253.373,-0.6631,2.00E-04
neidL2_20210207T210240.fits,2/7/21 21:02,2459253.372,-0.6627,2.00E-04
neidL2_20210207T210106.fits,2/7/21 21:01,2459253.371,-0.6626,2.00E-04
neidL2_20210207T205933.fits,2/7/21 20:59,2459253.37,-0.6635,2.00E-04
neidL2_20210207T205800.fits,2/7/21 20:58,2459253.369,-0.6638,2.00E-04
neidL2_20210207T205626.fits,2/7/21 20:56,2459253.368,-0.6617,2.00E-04
neidL2_20210207T205452.fits,2/7/21 20:54,2459253.367,-0.6629,2.00E-04
neidL2_20210207T205319.fits,2/7/21 20:53,2459253.366,-0.6646,2.00E-04
neidL2_20210207T205146.fits,2/7/21 20:51,2459253.365,-0.6624,2.00E-04
neidL2_20210207T205012.fits,2/7/21 20:50,2459253.364,-0.6622,2.00E-04
neidL2_20210207T204840.fits,2/7/21 20:48,2459253.363,-0.663,2.00E-04
neidL2_20210207T204706.fits,2/7/21 20:47,2459253.361,-0.6621,2.00E-04
neidL2_20210207T204532.fits,2/7/21 20:45,2459253.36,-0.6614,2.00E-04
neidL2_20210207T204359.fits,2/7/21 20:43,2459253.359,-0.6625,2.00E-04
neidL2_20210207T204225.fits,2/7/21 20:42,2459253.358,-0.6626,2.00E-04
neidL2_20210207T204052.fits,2/7/21 20:40,2459253.357,-0.6612,2.00E-04
neidL2_20210207T203918.fits,2/7/21 20:39,2459253.356,-0.661,2.00E-04
neidL2_20210207T203745.fits,2/7/21 20:37,2459253.355,-0.6625,2.00E-04
neidL2_20210207T203611.fits,2/7/21 20:36,2459253.354,-0.6624,2.00E-04
neidL2_20210207T203438.fits,2/7/21 20:34,2459253.353,-0.6619,2.00E-04
neidL2_20210207T203304.fits,2/7/21 20:33,2459253.352,-0.6615,2.00E-04
neidL2_20210207T203131.fits,2/7/21 20:31,2459253.351,-0.6628,2.00E-04
neidL2_20210207T202957.fits,2/7/21 20:29,2459253.35,-0.6634,2.00E-04
neidL2_20210207T202824.fits,2/7/21 20:28,2459253.348,-0.662,2.00E-04
neidL2_20210207T202651.fits,2/7/21 20:26,2459253.347,-0.6615,2.00E-04
neidL2_20210207T202517.fits,2/7/21 20:25,2459253.346,-0.6632,2.00E-04
neidL2_20210207T202344.fits,2/7/21 20:23,2459253.345,-0.6624,2.00E-04
neidL2_20210207T202210.fits,2/7/21 20:22,2459253.344,-0.6604,2.00E-04
neidL2_20210207T202037.fits,2/7/21 20:20,2459253.343,-0.6621,2.00E-04
neidL2_20210207T201903.fits,2/7/21 20:19,2459253.342,-0.6622,2.00E-04
neidL2_20210207T201730.fits,2/7/21 20:17,2459253.341,-0.6603,2.00E-04
neidL2_20210207T201556.fits,2/7/21 20:15,2459253.34,-0.6627,2.00E-04
neidL2_20210207T201423.fits,2/7/21 20:14,2459253.339,-0.6622,2.00E-04
neidL2_20210207T201249.fits,2/7/21 20:12,2459253.338,-0.6597,2.00E-04
neidL2_20210207T201116.fits,2/7/21 20:11,2459253.337,-0.6622,2.00E-04
neidL2_20210207T200944.fits,2/7/21 20:09,2459253.336,-0.6626,2.00E-04
neidL2_20210207T200810.fits,2/7/21 20:08,2459253.334,-0.6603,2.00E-04
neidL2_20210207T200636.fits,2/7/21 20:06,2459253.333,-0.6614,2.00E-04
neidL2_20210207T200503.fits,2/7/21 20:05,2459253.332,-0.6622,2.00E-04
neidL2_20210207T200330.fits,2/7/21 20:03,2459253.331,-0.6614,2.00E-04
neidL2_20210207T200156.fits,2/7/21 20:01,2459253.33,-0.6614,2.00E-04
neidL2_20210207T200023.fits,2/7/21 20:00,2459253.329,-0.6622,2.00E-04
neidL2_20210207T195850.fits,2/7/21 19:58,2459253.328,-0.6621,2.00E-04
neidL2_20210207T195717.fits,2/7/21 19:57,2459253.327,-0.6613,2.00E-04
neidL2_20210207T195544.fits,2/7/21 19:55,2459253.326,-0.6618,2.00E-04
neidL2_20210207T195410.fits,2/7/21 19:54,2459253.325,-0.6617,2.00E-04
neidL2_20210207T195237.fits,2/7/21 19:52,2459253.324,-0.6616,2.00E-04
neidL2_20210207T195103.fits,2/7/21 19:51,2459253.323,-0.6613,2.00E-04
neidL2_20210207T194930.fits,2/7/21 19:49,2459253.321,-0.6629,2.00E-04
neidL2_20210207T194756.fits,2/7/21 19:47,2459253.32,-0.6618,2.00E-04
neidL2_20210207T194623.fits,2/7/21 19:46,2459253.319,-0.6613,2.00E-04
neidL2_20210207T194253.fits,2/7/21 19:42,2459253.317,-0.662,2.00E-04
neidL2_20210207T194119.fits,2/7/21 19:41,2459253.316,-0.6622,2.00E-04
neidL2_20210207T193945.fits,2/7/21 19:39,2459253.315,-0.6611,2.00E-04
neidL2_20210207T193812.fits,2/7/21 19:38,2459253.314,-0.6618,2.00E-04
neidL2_20210207T193637.fits,2/7/21 19:36,2459253.313,-0.6623,2.00E-04
neidL2_20210207T193504.fits,2/7/21 19:35,2459253.311,-0.6615,2.00E-04
neidL2_20210207T193331.fits,2/7/21 19:33,2459253.31,-0.6616,2.00E-04
neidL2_20210207T193157.fits,2/7/21 19:31,2459253.309,-0.6616,2.00E-04
neidL2_20210207T193023.fits,2/7/21 19:30,2459253.308,-0.6611,2.00E-04
neidL2_20210207T192850.fits,2/7/21 19:28,2459253.307,-0.6612,2.00E-04
neidL2_20210207T192717.fits,2/7/21 19:27,2459253.306,-0.661,2.00E-04
neidL2_20210207T192543.fits,2/7/21 19:25,2459253.305,-0.6623,2.00E-04
neidL2_20210207T192410.fits,2/7/21 19:24,2459253.304,-0.6602,2.00E-04
neidL2_20210207T192236.fits,2/7/21 19:22,2459253.303,-0.6599,2.00E-04
neidL2_20210207T192103.fits,2/7/21 19:21,2459253.302,-0.6634,2.00E-04
neidL2_20210207T191929.fits,2/7/21 19:19,2459253.301,-0.6613,2.00E-04
neidL2_20210207T191756.fits,2/7/21 19:17,2459253.3,-0.6592,2.00E-04
neidL2_20210207T191622.fits,2/7/21 19:16,2459253.298,-0.6612,2.00E-04
neidL2_20210207T191449.fits,2/7/21 19:14,2459253.297,-0.6627,2.00E-04
neidL2_20210207T191316.fits,2/7/21 19:13,2459253.296,-0.6602,2.00E-04
neidL2_20210207T191142.fits,2/7/21 19:11,2459253.295,-0.6597,2.00E-04
neidL2_20210207T191009.fits,2/7/21 19:10,2459253.294,-0.6616,2.00E-04
neidL2_20210207T190835.fits,2/7/21 19:08,2459253.293,-0.6616,2.00E-04
neidL2_20210207T190702.fits,2/7/21 19:07,2459253.292,-0.6596,2.00E-04
neidL2_20210207T190528.fits,2/7/21 19:05,2459253.291,-0.6602,2.00E-04
neidL2_20210207T190355.fits,2/7/21 19:03,2459253.29,-0.6611,2.00E-04
neidL2_20210207T190221.fits,2/7/21 19:02,2459253.289,-0.6608,2.00E-04
neidL2_20210207T190048.fits,2/7/21 19:00,2459253.288,-0.661,2.00E-04
neidL2_20210207T185914.fits,2/7/21 18:59,2459253.287,-0.6605,2.00E-04
neidL2_20210207T185741.fits,2/7/21 18:57,2459253.285,-0.6605,2.00E-04
neidL2_20210207T185607.fits,2/7/21 18:56,2459253.284,-0.6618,2.00E-04
neidL2_20210207T185433.fits,2/7/21 18:54,2459253.283,-0.6618,2.00E-04
neidL2_20210207T185301.fits,2/7/21 18:53,2459253.282,-0.6597,2.00E-04
neidL2_20210207T185127.fits,2/7/21 18:51,2459253.281,-0.6608,2.00E-04
neidL2_20210207T184954.fits,2/7/21 18:49,2459253.28,-0.6633,2.00E-04
neidL2_20210207T184821.fits,2/7/21 18:48,2459253.279,-0.6605,2.00E-04
neidL2_20210207T184648.fits,2/7/21 18:46,2459253.278,-0.66,2.00E-04
neidL2_20210207T184515.fits,2/7/21 18:45,2459253.277,-0.6616,2.00E-04
neidL2_20210207T184341.fits,2/7/21 18:43,2459253.276,-0.6617,2.00E-04
neidL2_20210207T184209.fits,2/7/21 18:42,2459253.275,-0.6599,2.00E-04
neidL2_20210207T184035.fits,2/7/21 18:40,2459253.274,-0.6604,2.00E-04
neidL2_20210207T183902.fits,2/7/21 18:39,2459253.273,-0.6617,2.00E-04
neidL2_20210207T183729.fits,2/7/21 18:37,2459253.271,-0.6605,2.00E-04
neidL2_20210207T183555.fits,2/7/21 18:35,2459253.27,-0.6599,2.00E-04
neidL2_20210207T183422.fits,2/7/21 18:34,2459253.269,-0.661,2.00E-04
neidL2_20210207T183249.fits,2/7/21 18:32,2459253.268,-0.6622,2.00E-04
neidL2_20210207T183117.fits,2/7/21 18:31,2459253.267,-0.6605,2.00E-04
neidL2_20210207T182943.fits,2/7/21 18:29,2459253.266,-0.6601,2.00E-04
neidL2_20210207T182810.fits,2/7/21 18:28,2459253.265,-0.6612,2.00E-04
neidL2_20210207T182637.fits,2/7/21 18:26,2459253.264,-0.6603,2.00E-04
neidL2_20210207T182503.fits,2/7/21 18:25,2459253.263,-0.6605,2.00E-04
neidL2_20210207T182330.fits,2/7/21 18:23,2459253.262,-0.6605,2.00E-04
neidL2_20210207T182157.fits,2/7/21 18:21,2459253.261,-0.6602,2.00E-04
neidL2_20210207T182023.fits,2/7/21 18:20,2459253.26,-0.6607,2.00E-04
neidL2_20210207T181850.fits,2/7/21 18:18,2459253.259,-0.6606,2.00E-04
neidL2_20210207T181716.fits,2/7/21 18:17,2459253.257,-0.6606,2.00E-04
neidL2_20210207T181543.fits,2/7/21 18:15,2459253.256,-0.6602,2.00E-04
neidL2_20210207T181409.fits,2/7/21 18:14,2459253.255,-0.6597,2.00E-04
neidL2_20210207T181236.fits,2/7/21 18:12,2459253.254,-0.661,2.00E-04
neidL2_20210207T181103.fits,2/7/21 18:11,2459253.253,-0.6596,2.00E-04
neidL2_20210207T180929.fits,2/7/21 18:09,2459253.252,-0.6586,2.00E-04
neidL2_20210207T180608.fits,2/7/21 18:06,2459253.25,-0.6601,2.00E-04
neidL2_20210207T180435.fits,2/7/21 18:04,2459253.249,-0.6568,2.00E-04
neidL2_20210207T180302.fits,2/7/21 18:03,2459253.248,-0.6596,2.00E-04
neidL2_20210207T180128.fits,2/7/21 18:01,2459253.246,-0.662,2.00E-04
neidL2_20210207T175955.fits,2/7/21 17:59,2459253.245,-0.659,2.00E-04
neidL2_20210207T175822.fits,2/7/21 17:58,2459253.244,-0.6575,2.00E-04
neidL2_20210207T175648.fits,2/7/21 17:56,2459253.243,-0.6604,2.00E-04
neidL2_20210207T175515.fits,2/7/21 17:55,2459253.242,-0.6593,2.00E-04
neidL2_20210207T175342.fits,2/7/21 17:53,2459253.241,-0.6584,2.00E-04
neidL2_20210207T175208.fits,2/7/21 17:52,2459253.24,-0.6592,2.00E-04
neidL2_20210207T175035.fits,2/7/21 17:50,2459253.239,-0.6593,2.00E-04
neidL2_20210207T174901.fits,2/7/21 17:49,2459253.238,-0.6595,2.00E-04
neidL2_20210207T174729.fits,2/7/21 17:47,2459253.237,-0.6581,2.00E-04
neidL2_20210207T174555.fits,2/7/21 17:45,2459253.236,-0.6592,2.00E-04
neidL2_20210207T174422.fits,2/7/21 17:44,2459253.235,-0.6599,2.00E-04
neidL2_20210207T174249.fits,2/7/21 17:42,2459253.234,-0.6608,2.00E-04
neidL2_20210207T174116.fits,2/7/21 17:41,2459253.232,-0.6582,2.00E-04
neidL2_20210207T173942.fits,2/7/21 17:39,2459253.231,-0.6585,2.00E-04
neidL2_20210207T173809.fits,2/7/21 17:38,2459253.23,-0.6607,2.00E-04
neidL2_20210207T173635.fits,2/7/21 17:36,2459253.229,-0.6584,2.00E-04
neidL2_20210207T173503.fits,2/7/21 17:35,2459253.228,-0.6582,2.00E-04
neidL2_20210207T173329.fits,2/7/21 17:33,2459253.227,-0.6599,2.00E-04
neidL2_20210207T173156.fits,2/7/21 17:31,2459253.226,-0.6591,2.00E-04
neidL2_20210207T173022.fits,2/7/21 17:30,2459253.225,-0.6582,2.00E-04
neidL2_20210207T172849.fits,2/7/21 17:28,2459253.224,-0.6586,2.00E-04
neidL2_20210207T172716.fits,2/7/21 17:27,2459253.223,-0.6588,2.00E-04
neidL2_20210207T172543.fits,2/7/21 17:25,2459253.222,-0.6592,2.00E-04
neidL2_20210207T172409.fits,2/7/21 17:24,2459253.221,-0.6595,2.00E-04
neidL2_20210207T172236.fits,2/7/21 17:22,2459253.219,-0.6598,2.00E-04
neidL2_20210207T172103.fits,2/7/21 17:21,2459253.218,-0.659,2.00E-04
neidL2_20210207T171929.fits,2/7/21 17:19,2459253.217,-0.661,2.00E-04
neidL2_20210207T171756.fits,2/7/21 17:17,2459253.216,-0.6613,2.00E-04
neidL2_20210207T171622.fits,2/7/21 17:16,2459253.215,-0.6601,2.00E-04
neidL2_20210207T171450.fits,2/7/21 17:14,2459253.214,-0.6622,2.00E-04
neidL2_20210207T171316.fits,2/7/21 17:13,2459253.213,-0.662,2.00E-04
neidL2_20210207T171143.fits,2/7/21 17:11,2459253.212,-0.6604,2.00E-04
neidL2_20210207T171010.fits,2/7/21 17:10,2459253.211,-0.6615,2.00E-04
neidL2_20210207T170836.fits,2/7/21 17:08,2459253.21,-0.6614,2.00E-04
neidL2_20210207T170703.fits,2/7/21 17:07,2459253.209,-0.6594,2.00E-04
neidL2_20210207T170530.fits,2/7/21 17:05,2459253.208,-0.659,2.00E-04
neidL2_20210207T170356.fits,2/7/21 17:03,2459253.207,-0.6607,2.00E-04
neidL2_20210207T170223.fits,2/7/21 17:02,2459253.205,-0.6604,2.00E-04
neidL2_20210207T170049.fits,2/7/21 17:00,2459253.204,-0.6589,2.00E-04
neidL2_20210207T165916.fits,2/7/21 16:59,2459253.203,-0.6606,2.00E-04
neidL2_20210207T165743.fits,2/7/21 16:57,2459253.202,-0.6606,2.00E-04
neidL2_20210207T165609.fits,2/7/21 16:56,2459253.201,-0.6596,2.00E-04
neidL2_20210207T165436.fits,2/7/21 16:54,2459253.2,-0.6596,2.00E-04
neidL2_20210207T165302.fits,2/7/21 16:53,2459253.199,-0.6601,2.00E-04
neidL2_20210207T165129.fits,2/7/21 16:51,2459253.198,-0.6603,2.00E-04
neidL2_20210207T164955.fits,2/7/21 16:49,2459253.197,-0.6585,2.00E-04
neidL2_20210207T164822.fits,2/7/21 16:48,2459253.196,-0.6581,2.00E-04
neidL2_20210207T164649.fits,2/7/21 16:46,2459253.195,-0.6595,2.00E-04
neidL2_20210207T164515.fits,2/7/21 16:45,2459253.194,-0.6596,2.00E-04
neidL2_20210207T164342.fits,2/7/21 16:43,2459253.192,-0.6592,2.00E-04
neidL2_20210207T164208.fits,2/7/21 16:42,2459253.191,-0.6582,2.00E-04
neidL2_20210207T164034.fits,2/7/21 16:40,2459253.19,-0.6593,2.00E-04
neidL2_20210207T163901.fits,2/7/21 16:39,2459253.189,-0.6599,2.00E-04
neidL2_20210207T163727.fits,2/7/21 16:37,2459253.188,-0.6581,2.00E-04
neidL2_20210207T163554.fits,2/7/21 16:35,2459253.187,-0.6596,2.00E-04
neidL2_20210207T163420.fits,2/7/21 16:34,2459253.186,-0.6598,2.00E-04
neidL2_20210207T163247.fits,2/7/21 16:32,2459253.185,-0.6583,2.00E-04