date_obs,date_jd,Bobs
2020-12-22T12:00:00,2459206,9.074
2020-12-23T12:00:00,2459207,9.16
2020-12-25T12:00:00,2459209,9.829
2020-12-27T12:00:00,2459211,10.199
2021-01-01T12:00:00,2459216,9.218
2021-01-16T12:00:00,2459231,8.682
2021-01-20T12:00:00,2459235,8.927
2021-01-23T12:00:00,2459238,9.372
2021-02-22T12:00:00,2459268,8.878
2021-02-23T12:00:00,2459269,9.227
2021-02-24T12:00:00,2459270,9.245
2021-02-25T12:00:00,2459271,9.175
2021-02-27T12:00:00,2459273,8.696
2021-03-03T12:00:00,2459277,8.656
2021-03-04T12:00:00,2459278,8.705
2021-03-07T12:00:00,2459281,8.523
2021-03-10T12:01:26,2459284.001,8.419
2021-03-11T12:00:00,2459285,8.486
2021-03-12T12:00:00,2459286,8.564
2021-03-14T12:00:00,2459288,8.708
2021-03-23T12:00:00,2459297,8.836
2021-03-25T12:00:00,2459299,8.849
2021-03-26T12:00:00,2459300,8.79
2021-03-27T12:00:00,2459301,8.751
2021-03-28T12:01:26,2459302.001,8.678
2021-04-04T12:00:00,2459309,8.205
2021-04-13T12:00:00,2459318,8.579
2021-04-14T12:00:00,2459319,8.693
2021-04-18T12:00:00,2459323,8.671
2021-04-19T12:00:00,2459324,8.922
2021-04-21T12:00:00,2459326,8.956
2021-04-23T12:00:00,2459328,8.931
2021-04-28T12:00:00,2459333,8.829
2021-04-29T12:00:00,2459334,8.552
2021-05-10T12:00:00,2459345,8.831
2021-05-11T12:00:00,2459346,8.951
2021-05-12T12:00:00,2459347,9.015
2021-05-13T12:00:00,2459348,8.995
2021-05-14T12:00:00,2459349,8.901
2021-05-16T12:00:00,2459351,8.705
2021-05-17T12:00:00,2459352,8.579
2021-05-19T12:00:00,2459354,8.686
2021-05-20T12:00:00,2459355,8.812
2021-05-21T12:00:00,2459356,9.088
2021-05-26T12:00:00,2459361,9.453
2021-05-27T12:00:00,2459362,9.048
2021-05-27T12:00:00,2459362,9.048
2021-05-31T12:00:00,2459366,8.541
2021-06-01T12:00:00,2459367,8.675
2021-06-02T12:00:00,2459368,8.79
2021-06-03T12:00:00,2459369,9.015
2021-06-05T12:00:00,2459371,9.036
2021-06-06T12:00:00,2459372,9.044
2021-06-08T12:00:00,2459374,9.042
2021-06-09T12:00:00,2459375,8.93
2021-06-14T12:00:00,2459380,8.819
2021-06-18T12:00:00,2459384,9.389
2021-06-20T12:00:00,2459386,9.277
2021-06-21T12:00:00,2459387,9.03
2021-06-24T12:00:00,2459390,8.544
2021-06-26T12:00:00,2459392,9.194
2021-06-27T12:00:00,2459393,9.696
2021-06-29T12:00:00,2459395,10.743
2021-06-30T12:00:00,2459396,11.034