date_obs,date_jd,v_phot,v_conv,unsigned_flux,rv_model
2016-05-09T11:00:00,2457517.958,0.205,8.524,10.213,110.89652
2016-05-09T11:02:00,2457517.96,0.209,8.427,10.09,110.81527
2016-05-09T11:04:00,2457517.961,0.21,8.576,10.309,110.95608
2016-05-09T11:06:00,2457517.963,0.214,8.576,10.314,110.96504
2016-05-09T11:08:00,2457517.964,0.211,8.557,10.324,110.94065
2016-05-09T11:10:00,2457517.965,0.217,8.55,10.308,110.94758
2016-05-09T11:12:00,2457517.967,0.222,8.421,10.312,110.83881
2016-05-09T11:14:00,2457517.968,0.211,8.623,10.324,111.00203
2016-05-09T11:16:00,2457517.969,0.213,8.535,10.32,110.92467
2016-05-09T11:18:00,2457517.971,0.217,8.427,10.327,110.83319
2016-05-09T11:20:00,2457517.972,0.225,8.689,10.314,111.09477
2016-05-09T11:22:00,2457517.974,0.22,8.554,10.314,110.95802
2016-05-09T11:24:00,2457517.975,0.225,8.413,10.32,110.83809
2016-05-09T11:26:00,2457517.976,0.215,8.664,10.322,111.04912
2016-05-09T11:28:00,2457517.978,0.215,8.679,10.325,111.06307
2016-05-09T11:30:00,2457517.979,0.217,8.55,10.35,110.94758
2016-05-09T11:32:00,2457517.981,0.222,8.553,10.325,110.96157
2016-05-09T11:34:00,2457517.982,0.223,8.821,10.318,111.21305
2016-05-09T11:36:00,2457517.983,0.217,8.494,10.315,110.8955
2016-05-09T11:38:00,2457517.985,0.214,8.562,10.332,110.95202
2016-05-09T11:40:00,2457517.986,0.214,8.631,10.324,111.01619
2016-05-09T11:42:00,2457517.988,0.225,8.484,10.331,110.90412
2016-05-09T11:44:00,2457517.989,0.229,8.614,10.32,111.03398
2016-05-09T11:46:00,2457517.99,0.228,8.61,10.338,111.02802
2016-05-09T11:48:00,2457517.992,0.234,8.702,10.331,111.12702
2016-05-09T11:50:00,2457517.993,0.215,8.744,10.334,111.12352
2016-05-09T11:52:00,2457517.994,0.215,8.586,10.329,110.97658
2016-05-09T11:54:00,2457517.996,0.229,8.739,10.343,111.15023
2016-05-09T11:56:00,2457517.997,0.234,8.598,10.342,111.0303
2016-05-09T11:58:00,2457517.999,0.228,8.669,10.341,111.08289
2016-05-09T12:00:00,2457518,0.222,8.738,10.346,111.13362
2016-05-09T12:02:00,2457518.001,0.233,8.712,10.342,111.13408
2016-05-09T12:04:00,2457518.003,0.232,8.716,10.339,111.13556
2016-05-09T12:06:00,2457518.004,0.227,8.854,10.36,111.2527
2016-05-09T12:08:00,2457518.006,0.217,8.532,10.348,110.93084
2016-05-09T12:10:00,2457518.007,0.226,8.728,10.349,111.13328
2016-05-09T12:12:00,2457518.008,0.231,8.783,10.35,111.19563
2016-05-09T12:14:00,2457518.01,0.232,8.684,10.334,111.1058
2016-05-09T12:16:00,2457518.011,0.235,8.818,10.369,111.23714
2016-05-09T12:18:00,2457518.013,0.231,8.798,10.353,111.20958
2016-05-09T12:20:00,2457518.014,0.229,8.734,10.367,111.14558
2016-05-09T12:22:00,2457518.015,0.24,9.027,10.35,111.44271
2016-05-09T12:24:00,2457518.017,0.243,8.883,10.355,111.31551
2016-05-09T12:26:00,2457518.018,0.24,8.822,10.348,111.25206
2016-05-09T12:28:00,2457518.019,0.238,8.942,10.356,111.35918
2016-05-09T12:30:00,2457518.021,0.235,8.804,10.35,111.22412
2016-05-09T12:32:00,2457518.022,0.227,8.807,10.346,111.20899
2016-05-09T12:34:00,2457518.024,0.237,8.834,10.358,111.2565
2016-05-09T12:36:00,2457518.025,0.239,8.724,10.364,111.15868
2016-05-09T12:38:00,2457518.026,0.248,8.867,10.36,111.31183
2016-05-09T12:40:00,2457518.028,0.252,8.851,10.376,111.30591
2016-05-09T12:42:00,2457518.029,0.251,8.768,10.356,111.22648
2016-05-09T12:44:00,2457518.031,0.245,8.942,10.371,111.37486
2016-05-09T12:46:00,2457518.032,0.25,8.847,10.357,111.29771
2016-05-09T12:48:00,2457518.033,0.235,8.742,10.401,111.16646
2016-05-09T12:50:00,2457518.035,0.253,8.939,10.366,111.38999
2016-05-09T12:52:00,2457518.036,0.255,8.78,10.417,111.2466
2016-05-09T12:54:00,2457518.038,0.243,8.907,10.382,111.33783
2016-05-09T12:56:00,2457518.039,0.245,9.013,10.391,111.44089
2016-05-09T12:58:00,2457518.04,0.243,8.798,10.384,111.23646
2016-05-09T13:00:00,2457518.042,0.252,9.109,10.363,111.54585
2016-05-09T13:02:00,2457518.043,0.262,8.884,10.378,111.359
2016-05-09T13:04:00,2457518.044,0.252,8.986,10.394,111.43146
2016-05-09T13:06:00,2457518.046,0.255,8.988,10.376,111.44004
2016-05-09T13:08:00,2457518.047,0.254,8.803,10.383,111.26575
2016-05-09T13:10:00,2457518.049,0.25,8.988,10.395,111.42884
2016-05-09T13:12:00,2457518.05,0.253,8.914,10.404,111.36674
2016-05-09T13:14:00,2457518.051,0.263,8.757,10.415,111.24313
2016-05-09T13:16:00,2457518.053,0.281,8.92,10.405,111.43504
2016-05-09T13:18:00,2457518.054,0.27,8.977,10.423,111.46341
2016-05-09T13:20:00,2457518.056,0.259,8.84,10.427,111.31136
2016-05-09T13:22:00,2457518.057,0.255,8.882,10.439,111.34146
2016-05-09T13:24:00,2457518.058,0.258,8.858,10.422,111.32586
2016-05-09T13:26:00,2457518.06,0.251,8.945,10.456,111.39109
2016-05-09T13:28:00,2457518.061,0.255,8.912,10.455,111.36936
2016-05-09T13:30:00,2457518.063,0.261,8.873,10.467,111.34653
2016-05-09T13:32:00,2457518.064,0.256,9.002,10.435,111.4553
2016-05-09T13:34:00,2457518.065,0.259,8.949,10.443,111.41273
2016-05-09T13:36:00,2457518.067,0.257,8.896,10.458,111.35896
2016-05-09T13:38:00,2457518.068,0.256,9.011,10.462,111.46367
2016-05-09T13:40:00,2457518.069,0.253,8.974,10.446,111.42254
2016-05-09T13:42:00,2457518.071,0.251,8.948,10.458,111.39388
2016-05-09T13:44:00,2457518.072,0.273,9.051,10.456,111.53895
2016-05-09T13:46:00,2457518.074,0.264,8.896,10.467,111.37464
2016-05-09T13:48:00,2457518.075,0.256,8.871,10.46,111.33347
2016-05-09T13:50:00,2457518.076,0.255,9.116,10.485,111.55908
2016-05-09T13:52:00,2457518.078,0.259,8.931,10.501,111.39599
2016-05-09T13:54:00,2457518.079,0.257,9.182,10.504,111.62494
2016-05-09T13:56:00,2457518.081,0.27,9.037,10.508,111.51921
2016-05-09T13:58:00,2457518.082,0.267,9.195,10.514,111.65943
2016-05-09T14:00:00,2457518.083,0.268,9.345,10.507,111.80117
2016-05-09T14:02:00,2457518.085,0.261,9.026,10.535,111.48882
2016-05-09T14:04:00,2457518.086,0.254,9.39,10.524,111.81166
2016-05-09T14:06:00,2457518.088,0.252,9.489,10.536,111.89925
2016-05-09T14:08:00,2457518.089,0.248,9.135,10.547,111.56107
2016-05-09T14:10:00,2457518.09,0.255,9.611,10.56,112.01943
2016-05-09T14:12:00,2457518.092,0.264,9.379,10.562,111.82383
2016-05-09T14:14:00,2457518.093,0.271,9.297,10.58,111.76325
2016-05-09T14:16:00,2457518.094,0.27,9.481,10.595,111.93213
2016-05-09T14:18:00,2457518.096,0.267,9.467,10.603,111.91239
2016-05-09T14:20:00,2457518.097,0.262,9.245,10.603,111.69473
2016-05-09T14:22:00,2457518.099,0.268,9.475,10.602,111.92207
2016-05-09T14:24:00,2457518.1,0.256,9.545,10.601,111.96029
2016-05-09T14:26:00,2457518.101,0.267,9.351,10.615,111.80451
2016-05-09T14:28:00,2457518.103,0.255,9.571,10.626,111.98223
2016-05-09T14:30:00,2457518.104,0.242,9.429,10.618,111.82105
2016-05-09T14:32:00,2457518.106,0.247,9.287,10.626,111.70019
2016-05-09T14:34:00,2457518.107,0.245,9.602,10.619,111.98866
2016-05-09T14:36:00,2457518.108,0.247,9.225,10.617,111.64253
2016-05-09T14:38:00,2457518.11,0.25,9.471,10.631,111.87803
2016-05-09T14:40:00,2457518.111,0.25,9.285,10.616,111.70505
2016-05-09T14:42:00,2457518.113,0.256,9.381,10.635,111.80777
2016-05-09T14:44:00,2457518.114,0.253,9.391,10.603,111.81035
2016-05-09T14:46:00,2457518.115,0.26,9.413,10.627,111.84649
2016-05-09T14:48:00,2457518.117,0.245,9.452,10.617,111.84916
2016-05-09T14:50:00,2457518.118,0.238,9.305,10.606,111.69677
2016-05-09T14:52:00,2457518.119,0.235,9.361,10.585,111.74213
2016-05-09T14:54:00,2457518.121,0.229,9.662,10.594,112.00862
2016-05-09T14:56:00,2457518.122,0.23,9.264,10.608,111.64072
2016-05-09T14:58:00,2457518.124,0.228,9.573,10.587,111.92361
2016-05-09T15:00:00,2457518.125,0.229,9.544,10.584,111.89888
2016-05-09T15:02:00,2457518.126,0.24,9.44,10.603,111.8268
2016-05-09T15:04:00,2457518.128,0.231,9.467,10.586,111.83175
2016-05-09T15:06:00,2457518.129,0.221,9.411,10.601,111.75727
2016-05-09T15:08:00,2457518.131,0.233,9.537,10.593,111.90133
2016-05-09T15:10:00,2457518.132,0.216,9.499,10.589,111.82791
2016-05-09T15:12:00,2457518.133,0.222,9.646,10.573,111.97806
2016-05-09T15:14:00,2457518.135,0.224,9.584,10.581,111.92488
2016-05-09T15:16:00,2457518.136,0.217,9.62,10.607,111.94268
2016-05-09T15:18:00,2457518.138,0.221,9.71,10.603,112.03534
2016-05-09T15:20:00,2457518.139,0.216,9.594,10.589,111.91626
2016-05-09T15:22:00,2457518.14,0.223,9.701,10.583,112.03145
2016-05-09T15:24:00,2457518.142,0.21,9.653,10.591,111.95769
2016-05-09T15:26:00,2457518.143,0.212,9.591,10.562,111.90451
2016-05-09T15:28:00,2457518.144,0.224,9.763,10.577,112.09135
2016-05-09T15:30:00,2457518.146,0.22,9.863,10.569,112.17539
2016-05-09T15:32:00,2457518.147,0.213,9.363,10.588,111.69471
2016-05-09T15:34:00,2457518.149,0.22,9.829,10.591,112.14377
2016-05-09T15:36:00,2457518.15,0.217,9.61,10.579,111.93338
2016-05-09T15:38:00,2457518.151,0.219,9.63,10.585,111.95646
2016-05-09T15:40:00,2457518.153,0.205,9.877,10.567,112.15481
2016-05-09T15:42:00,2457518.154,0.2,9.743,10.552,112.01899
2016-05-09T15:44:00,2457518.156,0.204,9.703,10.557,111.99075
2016-05-09T15:46:00,2457518.157,0.201,9.824,10.554,112.09656
2016-05-09T15:48:00,2457518.158,0.207,9.741,10.546,112.03281
2016-05-09T15:50:00,2457518.16,0.205,9.726,10.571,112.01438
2016-05-09T15:52:00,2457518.161,0.195,9.911,10.549,112.16403
2016-05-09T15:54:00,2457518.163,0.194,9.591,10.544,111.86419
2016-05-09T15:56:00,2457518.164,0.187,9.973,10.545,112.20377
2016-05-09T15:58:00,2457518.165,0.193,9.617,10.537,111.88613
2016-05-09T16:00:00,2457518.167,0.195,9.596,10.555,111.87108
2016-05-09T16:02:00,2457518.168,0.196,9.851,10.551,112.11047
2016-05-09T16:04:00,2457518.169,0.195,9.665,10.526,111.93525
2016-05-09T16:06:00,2457518.171,0.198,9.6,10.531,111.88152
2016-05-09T16:08:00,2457518.172,0.201,9.803,10.548,112.07703
2016-05-09T16:10:00,2457518.174,0.203,9.499,10.519,111.79879
2016-05-09T16:12:00,2457518.175,0.199,9.732,10.521,112.00652
2016-05-09T16:14:00,2457518.176,0.192,9.807,10.511,112.06059
2016-05-09T16:16:00,2457518.178,0.185,9.596,10.508,111.84868
2016-05-09T16:18:00,2457518.179,0.195,9.785,10.516,112.04685
2016-05-09T16:20:00,2457518.181,0.2,9.794,10.507,112.06642
2016-05-09T16:22:00,2457518.182,0.196,9.81,10.491,112.07234
2016-05-09T16:24:00,2457518.183,0.202,9.913,10.489,112.18157
2016-05-09T16:26:00,2457518.185,0.186,9.779,10.498,112.02111
2016-05-09T16:28:00,2457518.186,0.191,9.671,10.488,111.93187
2016-05-09T16:30:00,2457518.188,0.192,9.878,10.497,112.12662
2016-05-09T16:32:00,2457518.189,0.182,9.661,10.511,111.90241
2016-05-09T16:34:00,2457518.19,0.186,9.806,10.493,112.04622
2016-05-09T16:36:00,2457518.192,0.18,9.812,10.517,112.03836
2016-05-09T16:38:00,2457518.193,0.187,9.645,10.495,111.89873
2016-05-09T16:40:00,2457518.194,0.189,9.799,10.511,112.04643
2016-05-09T16:42:00,2457518.196,0.187,9.766,10.504,112.01126
2016-05-09T16:44:00,2457518.197,0.191,9.704,10.483,111.96256
2016-05-09T16:46:00,2457518.199,0.194,9.776,10.468,112.03624
2016-05-09T16:48:00,2457518.2,0.187,9.695,10.482,111.94523
2016-05-09T16:50:00,2457518.201,0.19,9.684,10.5,111.94172
2016-05-09T16:52:00,2457518.203,0.195,9.718,10.479,111.98454
2016-05-09T16:54:00,2457518.204,0.194,9.727,10.492,111.99067
2016-05-09T16:56:00,2457518.206,0.189,9.777,10.503,112.02597
2016-05-09T16:58:00,2457518.207,0.186,9.849,10.484,112.08621
2016-05-09T17:00:00,2457518.208,0.189,9.862,10.48,112.10502
2016-05-09T17:02:00,2457518.21,0.186,9.641,10.47,111.89277
2016-05-09T17:04:00,2457518.211,0.205,9.902,10.488,112.17806
2016-05-09T17:06:00,2457518.213,0.208,9.597,10.487,111.90113
2016-05-09T17:08:00,2457518.214,0.216,9.975,10.478,112.27059
2016-05-09T17:10:00,2457518.215,0.196,9.749,10.466,112.01561
2016-05-09T17:12:00,2457518.217,0.199,9.835,10.474,112.10231
2016-05-09T17:14:00,2457518.218,0.196,9.955,10.455,112.20719
2016-05-09T17:16:00,2457518.219,0.196,9.898,10.456,112.15418
2016-05-09T17:18:00,2457518.221,0.204,9.986,10.462,112.25394
2016-05-09T17:20:00,2457518.222,0.195,9.79,10.468,112.0515
2016-05-09T17:22:00,2457518.224,0.2,10.081,10.464,112.33333
2016-05-09T17:24:00,2457518.225,0.199,9.86,10.438,112.12556
2016-05-09T17:26:00,2457518.226,0.197,9.949,10.443,112.20385
2016-05-09T17:28:00,2457518.228,0.194,9.911,10.437,112.16179
2016-05-09T17:30:00,2457518.229,0.198,10.147,10.459,112.39023
2016-05-09T17:32:00,2457518.231,0.196,9.782,10.463,112.0463
2016-05-09T17:34:00,2457518.232,0.197,10.081,10.468,112.32661
2016-05-09T17:36:00,2457518.233,0.198,10.051,10.465,112.30095
2016-05-09T17:38:00,2457518.235,0.196,9.902,10.47,112.1579
2016-05-09T17:40:00,2457518.236,0.195,9.945,10.476,112.19565
2016-05-09T17:42:00,2457518.238,0.19,10.022,10.46,112.25606
2016-05-09T17:44:00,2457518.239,0.206,9.879,10.482,112.15891
2016-05-09T17:46:00,2457518.24,0.207,9.951,10.469,112.22811
2016-05-09T17:48:00,2457518.242,0.207,10.045,10.462,112.31553
2016-05-09T17:50:00,2457518.243,0.197,10.025,10.47,112.27453
2016-05-09T17:52:00,2457518.244,0.201,10.053,10.463,112.30953
2016-05-09T17:54:00,2457518.246,0.204,9.945,10.464,112.21581
2016-05-09T17:56:00,2457518.247,0.2,9.981,10.48,112.24033
2016-05-09T17:58:00,2457518.249,0.214,10.021,10.48,112.30889
2016-05-09T18:00:00,2457518.25,0.204,9.997,10.478,112.26417
2016-05-09T18:02:00,2457518.251,0.207,9.993,10.452,112.26717
2016-05-09T18:04:00,2457518.253,0.209,10.109,10.449,112.37953
2016-05-09T18:06:00,2457518.254,0.198,9.919,10.461,112.17819
2016-05-09T18:08:00,2457518.256,0.199,9.917,10.463,112.17857
2016-05-09T18:10:00,2457518.257,0.202,10.127,10.464,112.38059
2016-05-09T18:12:00,2457518.258,0.214,9.878,10.447,112.1759
2016-05-09T18:14:00,2457518.26,0.216,10,10.451,112.29384
2016-05-09T18:16:00,2457518.261,0.205,9.951,10.447,112.22363
2016-05-09T18:18:00,2457518.263,0.21,9.771,10.454,112.06743
2016-05-09T18:20:00,2457518.264,0.214,10.134,10.433,112.41398
2016-05-09T18:22:00,2457518.265,0.223,9.887,10.436,112.20443
2016-05-09T18:24:00,2457518.267,0.214,9.914,10.443,112.20938
2016-05-09T18:26:00,2457518.268,0.216,9.988,10.456,112.28268
2016-05-09T18:28:00,2457518.269,0.224,9.98,10.462,112.29316
2016-05-09T18:30:00,2457518.271,0.224,10.143,10.464,112.44475
2016-05-09T18:32:00,2457518.272,0.212,9.81,10.471,112.10818
2016-05-09T18:34:00,2457518.274,0.22,10.02,10.463,112.3214
2016-05-09T18:36:00,2457518.275,0.22,10.132,10.454,112.42556
2016-05-09T18:38:00,2457518.276,0.224,9.817,10.468,112.14157
2016-05-09T18:40:00,2457518.278,0.222,10.12,10.476,112.41888
2016-05-09T18:42:00,2457518.279,0.213,9.946,10.488,112.2369
2016-05-09T18:44:00,2457518.281,0.22,9.952,10.466,112.25816
2016-05-09T18:46:00,2457518.282,0.219,10.137,10.458,112.42797
2016-05-09T18:48:00,2457518.283,0.216,9.815,10.481,112.12179
2016-05-09T18:50:00,2457518.285,0.22,10.076,10.478,112.37348
2016-05-09T18:52:00,2457518.286,0.221,9.913,10.457,112.22413
2016-05-09T18:54:00,2457518.288,0.223,9.992,10.501,112.30208
2016-05-09T18:56:00,2457518.289,0.223,10.049,10.475,112.35509
2016-05-09T18:58:00,2457518.29,0.226,9.942,10.478,112.2623