date_obs,date_jd,v_quiet,v_disc,v_phot,v_conv,f_bright,f_spot,f,Bobs,vphot_bright,vphot_dark,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,rv_model
2021-02-12T11:00:00,2459257.958,-20.361,-16.634,0.025,3.726,1.866,0,1.866,8.518,0.025,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.75435
2021-02-12T11:02:00,2459257.96,-20.997,-17.379,0.023,3.617,1.86,0,1.86,8.554,0.023,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.5478
2021-02-12T11:04:00,2459257.961,-19.246,-15.708,0.028,3.538,1.851,0,1.851,8.524,0.028,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.4139
2021-02-12T11:06:00,2459257.963,-20.95,-17.245,0.029,3.705,1.851,0,1.851,8.525,0.029,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.7253
2021-02-12T11:08:00,2459257.964,-20.043,-16.455,0.026,3.588,1.85,0,1.85,8.529,0.026,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.5015
2021-02-12T11:10:00,2459257.965,-21.171,-17.553,0.025,3.618,1.848,0,1.848,8.522,0.025,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.55454999999999
2021-02-12T11:12:00,2459257.967,-20.84,-17.212,0.023,3.629,1.843,0,1.843,8.53,0.023,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.57
2021-02-12T11:14:00,2459257.968,-19.765,-16.019,0.019,3.746,1.851,0,1.851,8.515,0.019,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.77665
2021-02-12T11:16:00,2459257.969,-21.775,-18.176,0.018,3.599,1.845,0,1.845,8.528,0.018,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.50225
2021-02-12T11:18:00,2459257.971,-20.38,-16.753,0.021,3.627,1.852,0,1.852,8.541,0.021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.56139999999999
2021-02-12T11:20:00,2459257.972,-20.055,-16.379,0.021,3.676,1.847,0,1.847,8.516,0.021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.65205
2021-02-12T11:22:00,2459257.974,-20.322,-16.699,0.023,3.623,1.848,0,1.848,8.543,0.023,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.5589
2021-02-12T11:24:00,2459257.975,-19.685,-16.078,0.023,3.606,1.85,0,1.85,8.54,0.023,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.52745
2021-02-12T11:26:00,2459257.976,-19.815,-16.183,0.023,3.631,1.845,0,1.845,8.506,0.023,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.5737
2021-02-12T11:28:00,2459257.978,-19.571,-16.023,0.025,3.547,1.847,0,1.847,8.552,0.025,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.4232
2021-02-12T11:30:00,2459257.979,-19.419,-15.732,0.023,3.686,1.845,0,1.845,8.558,0.023,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.67545
2021-02-12T11:32:00,2459257.981,-19.362,-15.833,0.021,3.529,1.853,0,1.853,8.531,0.021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.3801
2021-02-12T11:34:00,2459257.982,-19.436,-15.844,0.025,3.592,1.848,0,1.848,8.535,0.025,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.50645
2021-02-12T11:36:00,2459257.983,-18.529,-14.945,0.024,3.585,1.853,0,1.853,8.527,0.024,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.49105
2021-02-12T11:38:00,2459257.985,-18.77,-15.246,0.026,3.524,1.851,0,1.851,8.535,0.026,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.3831
2021-02-12T11:40:00,2459257.986,-19.379,-15.749,0.035,3.63,1.844,0,1.844,8.556,0.035,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.60125
2021-02-12T11:42:00,2459257.988,-18.743,-15.146,0.043,3.597,1.862,0,1.862,8.615,0.043,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.5598
2021-02-12T11:44:00,2459257.989,-18.273,-14.627,0.043,3.646,1.856,0,1.856,8.595,0.043,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.65044999999999
2021-02-12T11:46:00,2459257.99,-18.953,-15.313,0.04,3.64,1.856,0,1.856,8.594,0.04,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.632
2021-02-12T11:48:00,2459257.992,-18.9,-15.273,0.041,3.628,1.856,0,1.856,8.6,0.041,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.61225
2021-02-12T11:50:00,2459257.993,-18.212,-14.573,0.042,3.639,1.855,0,1.855,8.589,0.042,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.63504999999999
2021-02-12T11:52:00,2459257.994,-18.333,-14.658,0.036,3.674,1.848,0,1.848,8.575,0.036,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.68509999999999
2021-02-12T11:54:00,2459257.996,-18.672,-15.073,0.036,3.599,1.849,0,1.849,8.579,0.036,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.54635
2021-02-12T11:56:00,2459257.997,-18.277,-14.634,0.039,3.643,1.864,0,1.864,8.62,0.039,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.6351
2021-02-12T11:58:00,2459257.999,-17.245,-13.667,0.036,3.578,1.855,0,1.855,8.593,0.036,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.5075
2021-02-12T12:00:00,2459258.0,-18.73,-15.108,0.038,3.621,1.856,0,1.856,8.596,0.038,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.59195
2021-02-12T12:02:00,2459258.001,-18.351,-14.704,0.037,3.646,1.862,0,1.862,8.587,0.037,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.63575
2021-02-12T12:04:00,2459258.003,-17.242,-13.548,0.035,3.694,1.859,0,1.859,8.614,0.035,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.71965
2021-02-12T12:06:00,2459258.004,-18.117,-14.401,0.03,3.716,1.862,0,1.862,8.606,0.03,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.7481
2021-02-12T12:08:00,2459258.006,-17.683,-14.021,0.032,3.662,1.851,0,1.851,8.602,0.032,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.6531
2021-02-12T12:10:00,2459258.007,-18.683,-15.04,0.035,3.644,1.848,0,1.848,8.576,0.035,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.62715
2021-02-12T12:12:00,2459258.008,-18.243,-14.555,0.033,3.688,1.851,0,1.851,8.614,0.033,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.70365
2021-02-12T12:14:00,2459258.01,-17.537,-13.966,0.033,3.572,1.858,0,1.858,8.587,0.033,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.48904999999999
2021-02-12T12:16:00,2459258.011,-17.837,-14.199,0.027,3.638,1.858,0,1.858,8.589,0.027,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.59645
2021-02-12T12:18:00,2459258.013,-17.261,-13.665,0.027,3.596,1.857,0,1.857,8.598,0.027,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.51875
2021-02-12T12:20:00,2459258.014,-17.897,-14.293,0.025,3.605,1.86,0,1.86,8.586,0.025,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.5305
2021-02-12T12:22:00,2459258.015,-17.16,-13.539,0.027,3.621,1.858,0,1.858,8.594,0.027,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.565
2021-02-12T12:24:00,2459258.017,-17.5,-13.931,0.032,3.569,1.86,0,1.86,8.581,0.032,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.48105
2021-02-12T12:26:00,2459258.018,-17.056,-13.455,0.03,3.601,1.857,0,1.857,8.598,0.03,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.53535
2021-02-12T12:28:00,2459258.019,-17.017,-13.38,0.028,3.636,1.856,0,1.856,8.585,0.028,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.59519999999999
2021-02-12T12:30:00,2459258.021,-17.584,-13.915,0.025,3.669,1.857,0,1.857,8.589,0.025,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.6489
2021-02-12T12:32:00,2459258.022,-16.806,-13.236,0.026,3.569,1.853,0,1.853,8.593,0.026,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.46634999999999
2021-02-12T12:34:00,2459258.024,-17.018,-13.4,0.028,3.618,1.854,0,1.854,8.596,0.028,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.5619
2021-02-12T12:36:00,2459258.025,-17.035,-13.347,0.021,3.688,1.849,0,1.849,8.595,0.021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.67425
2021-02-12T12:38:00,2459258.026,-16.589,-13.033,0.027,3.556,1.856,0,1.856,8.594,0.027,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.44475
2021-02-12T12:40:00,2459258.028,-17.195,-13.562,0.029,3.633,1.856,0,1.856,8.593,0.029,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.5921
2021-02-12T12:42:00,2459258.029,-18.214,-14.546,0.029,3.668,1.856,0,1.856,8.586,0.029,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.65684999999999
2021-02-12T12:44:00,2459258.031,-15.738,-12.175,0.028,3.563,1.851,0,1.851,8.59,0.028,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.46015
2021-02-12T12:46:00,2459258.032,-17.146,-13.553,0.028,3.593,1.86,0,1.86,8.603,0.028,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.51565
2021-02-12T12:48:00,2459258.033,-17.515,-13.916,0.028,3.599,1.859,0,1.859,8.609,0.028,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.52674999999999
2021-02-12T12:50:00,2459258.035,-15.992,-12.399,0.024,3.593,1.863,0,1.863,8.604,0.024,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.50585
2021-02-12T12:52:00,2459258.036,-16.817,-13.244,0.026,3.574,1.863,0,1.863,8.586,0.026,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.4756
2021-02-12T12:54:00,2459258.038,-17.451,-13.909,0.023,3.543,1.86,0,1.86,8.6,0.023,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.4109
2021-02-12T12:56:00,2459258.039,-16.79,-13.16,0.02,3.631,1.867,0,1.867,8.616,0.02,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.56635
2021-02-12T12:58:00,2459258.04,-16.519,-12.993,0.023,3.526,1.862,0,1.862,8.603,0.023,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.37944999999999
2021-02-12T13:00:00,2459258.042,-16.991,-13.325,0.024,3.666,1.86,0,1.86,8.617,0.024,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.6409
2021-02-12T13:02:00,2459258.043,-16.539,-12.978,0.024,3.56,1.863,0,1.863,8.605,0.024,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.4448
2021-02-12T13:04:00,2459258.044,-16.735,-13.064,0.022,3.671,1.855,0,1.855,8.596,0.022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.64524999999999
2021-02-12T13:06:00,2459258.046,-16.63,-13.123,0.02,3.507,1.854,0,1.854,8.605,0.02,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.33695
2021-02-12T13:08:00,2459258.047,-16.828,-13.042,0.024,3.786,1.865,0,1.865,8.609,0.024,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.8629
2021-02-12T13:10:00,2459258.049,-16.794,-13.193,0.025,3.601,1.869,0,1.869,8.598,0.025,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.5231
2021-02-12T13:12:00,2459258.05,-18.199,-14.632,0.023,3.567,1.859,0,1.859,8.605,0.023,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.4553
2021-02-12T13:14:00,2459258.051,-15.34,-11.578,0.026,3.762,1.863,0,1.863,8.601,0.026,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.82339999999999
2021-02-12T13:16:00,2459258.053,-18.109,-14.559,0.02,3.55,1.856,0,1.856,8.601,0.02,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.4165
2021-02-12T13:18:00,2459258.054,-16.438,-12.769,0.022,3.669,1.865,0,1.865,8.617,0.022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.64155
2021-02-12T13:20:00,2459258.056,-17.688,-14.05,0.019,3.638,1.861,0,1.861,8.596,0.019,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.57685
2021-02-12T13:22:00,2459258.057,-16.412,-12.863,0.02,3.55,1.859,0,1.859,8.605,0.02,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.4165
2021-02-12T13:24:00,2459258.058,-17.21,-13.632,0.021,3.578,1.863,0,1.863,8.622,0.021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.47075
2021-02-12T13:26:00,2459258.06,-17.941,-14.283,0.019,3.658,1.857,0,1.857,8.592,0.019,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.61385
2021-02-12T13:28:00,2459258.061,-15.957,-12.42,0.022,3.537,1.851,0,1.851,8.593,0.022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.39735
2021-02-12T13:30:00,2459258.063,-17.733,-14.074,0.021,3.66,1.863,0,1.863,8.604,0.021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.62245
2021-02-12T13:32:00,2459258.064,-16.63,-13.055,0.02,3.575,1.859,0,1.859,8.596,0.02,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.46275
2021-02-12T13:34:00,2459258.065,-16.727,-13.125,0.023,3.602,1.854,0,1.854,8.609,0.023,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.52005
2021-02-12T13:36:00,2459258.067,-17.726,-14.261,0.02,3.465,1.851,0,1.851,8.61,0.02,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.25925
2021-02-12T13:38:00,2459258.068,-15.887,-12.298,0.018,3.589,1.85,0,1.85,8.603,0.018,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.48375
2021-02-12T13:40:00,2459258.069,-17.593,-14.057,0.021,3.535,1.855,0,1.855,8.603,0.021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.3912
2021-02-12T13:42:00,2459258.071,-17.081,-13.598,0.019,3.484,1.86,0,1.86,8.601,0.019,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.29195
2021-02-12T13:44:00,2459258.072,-17.129,-13.516,0.02,3.613,1.856,0,1.856,8.605,0.02,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.53305
2021-02-12T13:46:00,2459258.074,-16.855,-13.32,0.017,3.535,1.86,0,1.86,8.582,0.017,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.3814
2021-02-12T13:48:00,2459258.075,-16.529,-12.93,0.017,3.599,1.87,0,1.87,8.613,0.017,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.4998
2021-02-12T13:50:00,2459258.076,-18.186,-14.591,0.021,3.595,1.861,0,1.861,8.6,0.021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.5022
