date_obs,date_jd,rv_sun,rv_error
2020-12-12T12:00:00,2459196,-639.85,0.2
2020-12-13T12:00:00,2459197,-639.5,0.2
2020-12-14T12:00:00,2459198,-590.6,0.2
2020-12-15T12:00:00,2459199,-594.8,0.2
2020-12-16T12:00:00,2459200,-598,0.2
2020-12-17T17:15:21,2459201.219,-638.05,0.2
2020-12-18T12:00:00,2459202,-606.65,0.2
2020-12-19T12:00:00,2459203,-639.15,0.2
2020-12-20T12:00:00,2459204,-640.3,0.2
2020-12-21T12:00:00,2459205,-639,0.2
2020-12-22T12:00:00,2459206,-639.8,0.2
2020-12-23T12:00:00,2459207,-638.9,0.2
2020-12-25T12:00:00,2459209,-639,0.2
2020-12-26T12:00:00,2459210,-638.05,0.2
2020-12-27T12:00:00,2459211,-639.1,0.2
2020-12-28T12:00:00,2459212,nan,nan
2020-12-29T12:00:00,2459213,nan,nan
2020-12-31T12:00:00,2459215,nan,nan
2021-01-01T12:00:00,2459216,-638.9,0.2
2021-01-02T12:00:00,2459217,-638.7,0.2
2021-01-03T12:00:00,2459218,-639.45,0.2
2021-01-05T12:00:00,2459220,-639.6,0.2
2021-01-06T12:00:00,2459221,-639.6,0.2
2021-01-07T12:00:00,2459222,-639.9,0.2
2021-01-08T12:00:00,2459223,-639.9,0.2
2021-01-09T12:00:00,2459224,-639.55,0.2
2021-01-10T12:00:00,2459225,-639.1,0.2
2021-01-11T12:00:00,2459226,-639.4,0.2
2021-01-12T12:00:00,2459227,-639.15,0.2
2021-01-13T12:00:00,2459228,-647.2,0.2
2021-01-14T12:00:00,2459229,-640.45,0.2
2021-01-15T12:00:00,2459230,-639.6,0.2
2021-01-16T12:00:00,2459231,-640,0.2
2021-01-17T12:00:00,2459232,-640.9,0.2
2021-01-20T12:00:00,2459235,-638.3,0.2
2021-01-21T12:00:00,2459236,nan,nan
2021-01-22T12:00:00,2459237,-649.6,0.2
2021-01-23T12:00:00,2459238,-639.6,0.2
2021-01-28T12:00:00,2459243,-640,0.2
2021-01-29T12:00:00,2459244,-639.5,0.2
2021-01-30T12:00:00,2459245,-639.25,0.2
2021-01-31T12:00:00,2459246,-639.95,0.2
2021-02-02T12:00:00,2459248,nan,nan
2021-02-03T12:00:00,2459249,-640.7,0.2
2021-02-04T12:00:00,2459250,-641.05,0.2
2021-02-05T12:00:00,2459251,-641.3,0.2
2021-02-06T12:00:00,2459252,-640.6,0.2
2021-02-07T12:00:00,2459253,-660.6,0.2
2021-02-08T12:00:00,2459254,-639.5,0.2
2021-02-09T12:00:00,2459255,-640.1,0.2
2021-02-10T12:00:00,2459256,-640.1,0.2
2021-02-11T12:00:00,2459257,-640.5,0.2
2021-02-12T12:00:00,2459258,-639.55,0.2
2021-02-13T12:00:00,2459259,nan,nan
2021-02-14T12:00:00,2459260,-640.3,0.2
2021-02-15T12:00:00,2459261,-640,0.2
2021-02-16T12:00:00,2459262,nan,nan
2021-02-18T12:00:00,2459264,-639.9,0.2
2021-02-19T12:00:00,2459265,-663.5,0.2
2021-02-20T12:00:00,2459266,-639.4,0.2
2021-02-21T12:00:00,2459267,-638.9,0.2
2021-02-22T12:00:00,2459268,-639.9,0.2
2021-02-23T12:00:00,2459269,-639.9,0.2
2021-02-24T12:00:00,2459270,-639,0.2
2021-02-25T12:00:00,2459271,-639.3,0.2
2021-02-26T12:00:00,2459272,-669.5,0.2
2021-02-27T12:00:00,2459273,-639.8,0.2
2021-02-28T12:00:00,2459274,-669.95,0.2
2021-03-01T12:01:26,2459275.001,-640.75,0.2
2021-03-02T12:00:00,2459276,-641.3,0.2
2021-03-03T12:00:00,2459277,-639.7,0.2
2021-03-04T12:00:00,2459278,-639.7,0.2
2021-03-05T12:00:00,2459279,-639.9,0.2
2021-03-06T12:00:00,2459280,-639.8,0.2
2021-03-07T12:00:00,2459281,-640.4,0.2
2021-03-08T12:00:00,2459282,-638.4,0.2
2021-03-09T12:00:00,2459283,nan,nan
2021-03-10T12:01:26,2459284.001,-640.6,0.2
2021-03-11T12:00:00,2459285,-639.5,0.2
2021-03-12T12:00:00,2459286,-639.35,0.2
2021-03-13T12:00:00,2459287,nan,nan
2021-03-14T12:00:00,2459288,-639.4,0.2
2021-03-15T12:00:00,2459289,nan,nan
2021-03-17T12:00:00,2459291,-639.4,0.2
2021-03-19T12:00:00,2459293,-672.65,0.2
2021-03-20T12:00:00,2459294,-640.2,0.2
2021-03-21T12:00:00,2459295,-640,0.2
2021-03-22T12:00:00,2459296,-639,0.2
2021-03-23T12:00:00,2459297,-638.9,0.2
2021-03-24T12:00:00,2459298,-674.7,0.2
2021-03-25T12:00:00,2459299,-640.1,0.2
2021-03-26T12:00:00,2459300,-640.5,0.2
2021-03-27T12:00:00,2459301,-640,0.2
2021-03-28T12:01:26,2459302.001,-639.4,0.2
2021-03-29T12:00:00,2459303,-639.95,0.2
2021-03-30T12:00:00,2459304,-641.15,0.2
2021-04-01T12:00:00,2459306,-639.2,0.2
2021-04-02T12:00:00,2459307,-639.6,0.2
2021-04-03T12:00:00,2459308,-640.4,0.2
2021-04-04T12:00:00,2459309,-640.95,0.2
2021-04-05T12:00:00,2459310,-681.55,0.2
2021-04-06T12:00:00,2459311,-681.1,0.2
2021-04-07T12:00:00,2459312,-681.1,0.2
2021-04-11T12:00:00,2459316,-683.3,0.2
2021-04-12T12:01:26,2459317.001,-680.6,0.2
2021-04-13T12:00:00,2459318,-639.9,0.2
2021-04-14T12:00:00,2459319,-638.75,0.2
2021-04-16T12:00:00,2459321,-640.2,0.2
2021-04-17T12:00:00,2459322,-640.1,0.2
2021-04-18T12:00:00,2459323,-639.8,0.2
2021-04-19T12:00:00,2459324,-640.4,0.2
2021-04-21T12:00:00,2459326,-639.5,0.2
2021-04-22T12:00:00,2459327,nan,nan
2021-04-23T12:00:00,2459328,-639.5,0.2
2021-04-24T12:00:00,2459329,-637.3,0.2
2021-04-25T12:00:00,2459330,-636.2,0.2
2021-04-26T12:00:00,2459331,nan,nan
2021-04-27T12:00:00,2459332,nan,nan
2021-04-28T12:00:00,2459333,-639.1,0.2
2021-04-29T12:00:00,2459334,-640.45,0.2
2021-04-30T12:00:00,2459335,-640.15,0.2
2021-05-01T12:00:00,2459336,-640.15,0.2
2021-05-02T12:00:00,2459337,-681.3,0.2
2021-05-03T12:00:00,2459338,-641.45,0.2
2021-05-04T12:00:00,2459339,-642.2,0.2
2021-05-05T12:00:00,2459340,-683.4,0.2
2021-05-06T12:00:00,2459341,-641.45,0.2
2021-05-07T12:00:00,2459342,-641.2,0.2
2021-05-08T12:00:00,2459343,-681.6,0.2
2021-05-09T12:00:00,2459344,-681.55,0.2
2021-05-10T12:00:00,2459345,-640.3,0.2
2021-05-11T12:00:00,2459346,-640.6,0.2
2021-05-12T12:00:00,2459347,-640.15,0.2
2021-05-13T12:00:00,2459348,-640.6,0.2
2021-05-14T12:00:00,2459349,-640.1,0.2
2021-05-15T12:00:00,2459350,-681.5,0.2
2021-05-16T12:00:00,2459351,-640.9,0.2
2021-05-17T12:00:00,2459352,-641.1,0.2
2021-05-18T12:00:00,2459353,-681.1,0.2
2021-05-19T12:00:00,2459354,-641.1,0.2
2021-05-20T12:00:00,2459355,-640.1,0.2
2021-05-21T12:00:00,2459356,-639.3,0.2
2021-05-23T12:00:00,2459358,-678.3,0.2
2021-05-24T12:00:00,2459359,-679.1,0.2
2021-05-25T12:00:00,2459360,-679.1,0.2
2021-05-26T12:00:00,2459361,-639.5,0.2
2021-05-27T12:00:00,2459362,-639.5,0.2
2021-05-28T12:00:00,2459363,-640,0.2
2021-05-29T12:00:00,2459364,-641,0.2
2021-05-30T12:00:00,2459365,-642.25,0.2
2021-05-31T12:00:00,2459366,-640.8,0.2
2021-06-01T12:00:00,2459367,-640.8,0.2
2021-06-02T12:00:00,2459368,-640.4,0.2
2021-06-03T12:00:00,2459369,-640.9,0.2
2021-06-04T12:00:00,2459370,-651.3,0.2
2021-06-05T12:00:00,2459371,-638.9,0.2
2021-06-06T12:00:00,2459372,-639.05,0.2
2021-06-07T12:00:00,2459373,nan,nan
2021-06-08T12:00:00,2459374,-640.35,0.2
2021-06-09T12:00:00,2459375,-640.8,0.2
2021-06-10T12:00:00,2459376,-641.1,0.2
2021-06-11T12:00:00,2459377,-641.1,0.2
2021-06-12T12:00:00,2459378,-641.2,0.2
2021-06-13T12:00:00,2459379,-640.1,0.2
2021-06-14T12:00:00,2459380,-640.75,0.2
2021-06-15T12:00:00,2459381,nan,nan
2021-06-16T12:00:00,2459382,-646.65,0.2
2021-06-17T12:00:00,2459383,nan,nan
2021-06-18T12:00:00,2459384,-639.7,0.2
2021-06-19T12:00:00,2459385,nan,nan
2021-06-20T12:00:00,2459386,-639.5,0.2
2021-06-21T12:00:00,2459387,-640.5,0.2
2021-06-23T12:00:00,2459389,nan,nan
2021-06-24T12:00:00,2459390,-641.8,0.2
2021-06-25T12:00:00,2459391,-640.9,0.2
2021-06-26T12:00:00,2459392,-640.5,0.2
2021-06-27T12:00:00,2459393,-639.85,0.2
2021-06-28T12:00:00,2459394,-677.2,0.2
2021-06-29T12:00:00,2459395,-638.65,0.2
2021-06-30T12:00:00,2459396,-638.9,0.2
2021-07-01T12:00:00,2459397,nan,nan
2021-07-04T12:00:00,2459400,nan,nan
2021-07-05T12:00:00,2459401,-674.8,0.2
2021-07-06T12:00:00,2459402,-676.3,0.2
2021-07-07T12:00:00,2459403,-674.65,0.2
2021-07-08T12:00:00,2459404,-675.8,0.2
2021-07-09T12:00:00,2459405,-649.2,0.2