fr,date_jd,v_quiet,v_disc,v_phot,v_conv,f_bright,f_spot,f,Bobs,vphot_bright,vphot_spot,f_small,f_large,f_network,f_plage,f_nonconv,quiet_flux,ar_flux,conv_flux,pol_flux,pol_conv_flux,vconv_quiet,vconv_large,vconv_small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01T12:00:00,2459336.354,-18.249,-15.225,0.049,3.024,1.644,0,1.644,8.08,0.049,0,1.631,0.013,1.631,0.013,0,7.052,65.13,117.144,0.073,17.229,0.02,0.02,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-03T12:00:00,2459338.354,-21.515,-18.523,0.039,2.992,1.625,0,1.625,8.069,0.039,0,1.62,0.005,1.62,0.005,0,7.042,65.676,104.161,0.075,-104.161,0.008,0.008,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-04T12:00:00,2459339.354,-20.168,-17.142,0.001,3.026,1.626,0,1.626,8.064,0.001,0,1.601,0.026,1.601,0.026,0,7.047,65.262,130.388,0.018,-73.027,0.013,0.014,-0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-06T12:00:00,2459341.354,-18.716,-15.481,0.007,3.235,1.739,0,1.739,8.281,0.007,0,1.637,0.101,1.637,0.101,0,7.122,68.922,136.483,-0.051,-26.178,0.228,0.232,-0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-07T12:00:00,2459342.355,-19.097,-15.504,0.017,3.593,1.806,0,1.806,8.292,0.017,0,1.681,0.126,1.681,0.126,0,7.061,70.051,123.632,-0.124,-17.857,0.359,0.363,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-10T12:00:00,2459345.355,-20.956,-16.961,0.157,3.995,2.132,0.007,2.139,8.831,0.106,0.051,1.722,0.417,1.722,0.41,0,7.076,84.099,160.455,-0.124,6.888,0.747,0.761,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-11T12:00:00,2459346.354,-19.834,-15.649,0.181,4.186,2.181,0.007,2.189,8.951,0.138,0.043,1.735,0.454,1.735,0.447,0,7.081,86.912,167.16,-0.135,8.621,0.89,0.905,-0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-12T12:00:00,2459347.354,-19.502,-15.201,0.132,4.301,2.186,0.006,2.192,9.015,0.116,0.016,1.74,0.452,1.74,0.446,0,7.086,88.57,167.275,-0.162,17.572,1.118,1.134,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-13T12:00:00,2459348.354,-21.517,-17.273,0.038,4.244,2.182,0.005,2.187,8.995,0.039,-0.001,1.74,0.447,1.74,0.442,0,7.091,87.551,164.381,-0.186,16.095,1.072,1.088,-0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-14T12:00:00,2459349.355,-20.218,-16.03,-0.019,4.187,2.155,0.003,2.158,8.901,-0.01,-0.009,1.748,0.41,1.748,0.407,0,7.099,84.352,156.299,-0.18,10.902,0.881,0.896,-0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-16T12:00:00,2459351.354,-19.332,-15.628,0.032,3.704,2.074,0.002,2.076,8.705,0.045,-0.014,1.775,0.301,1.775,0.299,0,7.107,78.973,147.767,-0.267,-7.91,0.408,0.418,-0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-17T12:00:00,2459352.354,-18.291,-14.606,0.067,3.685,2.044,0.001,2.045,8.579,0.078,-0.011,1.792,0.253,1.792,0.251,0,7.082,75.506,133.411,-0.323,-21.078,0.344,0.353,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-19T12:00:00,2459354.354,-22.002,-18.182,0.017,3.82,2.087,0.004,2.091,8.686,-0.018,0.034,1.779,0.312,1.779,0.308,0,7.125,77.233,135.337,-0.223,-9.082,0.464,0.475,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-21T12:00:00,2459356.354,-20.816,-16.438,0.153,4.378,2.294,0.007,2.301,9.088,0.101,0.052,1.829,0.472,1.829,0.465,0,7.167,85.224,153.124,-0.052,2.382,0.827,0.844,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date_obs,date_jd,v_quiet,v_disc,v_phot,v_conv,f_bright,f_spot,f,Bobs,vphot_bright,vphot_spot,f_small,f_large,f_network,f_plage,f_nonconv,quiet_flux,ar_flux,conv_flux,pol_flux,pol_conv_flux,vconv_quiet,vconv_large,vconv_small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-26T12:00:00,2459361.355,-19.727,-16.078,-0.185,3.649,2.399,0.013,2.412,9.453,-0.082,-0.103,1.711,0.701,1.711,0.688,0,7.153,97.71,177.176,0.073,4.003,0.652,0.673,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-27T12:00:00,2459362.354,-17.522,-14.31,-0.047,3.213,2.201,0.009,2.21,9.048,0.029,-0.076,1.673,0.537,1.673,0.527,0,7.103,91.393,177.559,-0.013,-5.551,0.185,0.201,-0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-28T12:00:00,2459363.355,-17.968,-14.9,0.098,3.068,1.906,0.003,1.909,8.547,0.122,-0.024,1.629,0.28,1.629,0.277,0,7.125,77.367,150.644,-0.028,-25.779,0.19,0.198,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-29T12:00:00,2459364.354,-18.179,-15.061,0.085,3.117,1.737,0,1.737,8.261,0.085,0,1.594,0.144,1.594,0.144,0,7.07,70.916,131.806,-0.043,-28.815,0.168,0.173,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-30T12:00:00,2459365.355,-18.678,-15.52,0.082,3.159,1.778,0.001,1.779,8.343,0.074,0.008,1.552,0.227,1.552,0.226,0,7.074,73.407,144.228,0.088,-12.281,0.293,0.299,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-31T12:00:00,2459366.355,-18.128,-14.711,0.109,3.416,1.869,0.002,1.872,8.541,0.099,0.01,1.589,0.282,1.589,0.28,0,7.069,80.202,169.426,0.017,-5.26,0.562,0.571,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-01T12:00:00,2459367.354,-19.481,-15.647,0.081,3.834,1.94,0.004,1.944,8.675,0.076,0.005,1.614,0.33,1.614,0.326,0,7.098,82.37,166.538,-0.003,-9.626,0.826,0.837,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-02T12:00:00,2459368.354,-20.783,-16.99,-0.001,3.793,2.02,0.005,2.025,8.79,0.004,-0.005,1.642,0.383,1.642,0.378,0,7.087,85.254,170.294,-0.016,-8.352,0.783,0.795,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-03T12:00:00,2459369.349,-20.345,-16.265,-0.06,4.081,2.156,0.005,2.16,9.015,-0.038,-0.022,1.656,0.504,1.656,0.5,0,7.111,89.166,164.791,-0.088,-14.218,0.916,0.933,-0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-04T12:00:00,2459370.354,-20.359,-16.159,-0.034,4.2,2.19,0.006,2.195,9.078,-0.009,-0.024,1.688,0.508,1.688,0.502,0,7.108,90.839,172.599,-0.179,-12.647,1.061,1.078,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-05T12:00:00,2459371.35,-18.926,-14.911,-0.003,4.015,2.224,0.004,2.228,9.036,0.02,-0.023,1.701,0.527,1.701,0.523,0,7.079,89.28,166.356,-0.152,-12.423,0.939,0.956,-0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-06T12:00:00,2459372.354,-18.478,-14.434,0.078,4.044,2.255,0.002,2.257,9.044,0.089,-0.012,1.732,0.524,1.732,0.523,0,7.097,87.738,156.045,-0.085,-3.149,0.932,0.95,-0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-07T12:00:00,2459373.354,-22.514,-18.226,0.083,4.288,2.257,0.004,2.261,9.138,0.093,-0.01,1.738,0.522,1.738,0.519,0,7.106,90.606,167.22,-0.096,-3.812,1.135,1.153,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-08T12:00:00,2459374.354,-19.638,-15.363,0.027,4.275,2.204,0.002,2.206,9.042,0.035,-0.009,1.728,0.478,1.728,0.476,0,7.093,88.638,166.563,-0.032,8.729,1.044,1.061,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-09T12:00:00,2459375.354,-21.266,-17.339,0.068,3.927,2.166,0.001,2.167,8.93,0.076,-0.007,1.715,0.452,1.715,0.451,0,7.11,84.891,152.614,-0.067,13.418,0.725,0.741,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-10T12:00:00,2459376.353,-21.743,-18.141,0.11,3.601,2.141,0,2.141,8.835,0.111,-0.001,1.73,0.411,1.73,0.411,0,7.107,82.328,145.909,-0.028,29.029,0.547,0.561,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-11T12:00:00,2459377.354,-20.652,-16.854,0.114,3.798,2.156,0,2.156,8.782,0.114,0,1.799,0.358,1.799,0.357,0,7.122,79.125,136.627,-0.157,-0.799,0.525,0.537,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-12T12:00:00,2459378.354,-21.811,-18.061,0.038,3.75,2.049,0,2.049,8.667,0.038,0,1.759,0.29,1.759,0.29,0,7.094,78.646,143.539,-0.224,-22.494,0.478,0.488,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-13T12:00:00,2459379.354,-18.853,-15.19,0.054,3.663,2.087,0,2.087,8.708,0.054,0,1.776,0.311,1.776,0.311,0,7.108,78.751,142.5,-0.339,-29.925,0.492,0.502,-0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-14T12:00:00,2459380.354,-19.1,-15.119,0.087,3.981,2.197,0.003,2.2,8.819,0.054,0.033,1.813,0.387,1.813,0.384,0,7.108,80.218,142.578,-0.387,-32.18,0.709,0.721,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-15T12:00:00,2459381.354,-21.635,-17.325,0.074,4.311,2.287,0.005,2.292,8.977,0.03,0.044,1.795,0.497,1.795,0.492,0,7.111,83.295,142.727,-0.333,-20.277,0.985,1.003,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-16T12:00:00,2459382.354,-20.088,-15.794,0.121,4.294,2.372,0.006,2.377,9.18,0.078,0.043,1.84,0.537,1.84,0.531,0,7.171,86.237,148.848,-0.159,-17.074,1.058,1.076,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-17T12:00:00,2459383.354,-20.357,-15.446,0.162,4.911,2.529,0.007,2.536,9.455,0.129,0.033,1.959,0.576,1.959,0.57,0,7.243,88.608,150.47,-0.067,4.18,1.378,1.4,-0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-18T12:00:00,2459384.354,-20.356,-15.55,0.129,4.806,2.518,0.007,2.525,9.389,0.117,0.012,1.942,0.583,1.942,0.576,0,7.183,88.305,147.244,0.019,-0.495,1.332,1.354,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-19T12:00:00,2459385.354,-20.615,-15.993,0.074,4.623,2.449,0.007,2.457,9.319,0.086,-0.012,1.866,0.59,1.866,0.583,0,7.158,88.607,149.522,0.093,2.85,1.266,1.288,-0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-20T12:00:00,2459386.355,-21.561,-17.256,0.019,4.305,2.403,0.008,2.41,9.277,0.054,-0.036,1.821,0.589,1.821,0.582,0,7.194,87.125,145.686,0.125,11.512,1.077,1.098,-0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-21T12:00:00,2459387.354,-20.415,-16.422,-0.002,3.992,2.277,0.006,2.283,9.03,0.042,-0.044,1.795,0.488,1.795,0.482,0,7.139,84.193,143.288,0.068,-6.212,0.664,0.681,-0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24T12:00:00,2459390.355,-20.009,-16.879,-0.076,3.13,1.943,0.002,1.945,8.544,-0.062,-0.015,1.738,0.207,1.738,0.205,0,7.182,73.793,140.83,0.101,19.367,0.026,0.032,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date_obs,date_jd,v_quiet,v_disc,v_phot,v_conv,f_bright,f_spot,f,Bobs,vphot_bright,vphot_spot,f_small,f_large,f_network,f_plage,f_nonconv,quiet_flux,ar_flux,conv_flux,pol_flux,pol_conv_flux,vconv_quiet,vconv_large,vconv_small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-24T12:00:00,2459329.354,-18.139,-13.922,0.142,4.216,2.237,0.008,2.245,9.175,0.118,0.024,1.752,0.493,1.752,0.485,0,7.131,91.957,181.972,0.086,15.095,1.048,1.065,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-25T12:00:00,2459330.355,-20.319,-15.999,0.106,4.32,2.205,0.008,2.213,9.065,0.103,0.004,1.75,0.463,1.75,0.455,0,7.072,90.925,181.99,0.056,5.545,1.141,1.157,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-26T12:00:00,2459331.354,-21.055,-16.762,-0.005,4.293,2.215,0.011,2.226,9.209,0.029,-0.034,1.702,0.524,1.702,0.513,0,7.081,96.13,191.356,0.044,0.215,1.223,1.241,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-27T12:00:00,2459332.355,-18.792,-14.694,-0.067,4.097,2.202,0.007,2.209,9.139,-0.028,-0.039,1.711,0.498,1.711,0.491,0,7.093,93.398,187.777,0.128,-2.824,0.959,0.976,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-28T12:00:00,2459333.354,-18.271,-15.004,0.016,3.267,2.05,0.003,2.053,8.829,0.039,-0.023,1.654,0.4,1.654,0.396,0,7.149,83.885,163.844,0.153,9.147,0.328,0.34,-0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-29T12:00:00,2459334.354,-20.258,-17.059,0.112,3.199,1.947,0.002,1.949,8.552,0.126,-0.014,1.688,0.261,1.688,0.259,0,7.129,76.153,153.758,0.18,21.063,0.113,0.121,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-30T12:00:00,2459335.354,-18.528,-15.594,0.118,2.934,1.768,0,1.769,8.285,0.119,-0.001,1.668,0.101,1.668,0.101,0,7.114,69.169,143.648,0.183,31.208,-0.019,-0.016,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date_obs,date_jd,v_quiet,v_disc,v_phot,v_conv,f_bright,f_spot,f,Bobs,vphot_bright,vphot_spot,f_small,f_large,f_network,f_plage,f_nonconv,quiet_flux,ar_flux,conv_flux,pol_flux,pol_conv_flux,vconv_quiet,vconv_large,vconv_small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date_obs,date_jd,v_quiet,v_disc,v_phot,v_conv,f_bright,f_spot,f,Bobs,vphot_bright,vphot_spot,f_small,f_large,f_network,f_plage,f_nonconv,quiet_flux,ar_flux,conv_flux,pol_flux,pol_conv_flux,vconv_quiet,vconv_large,vconv_small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-26T12:00:00,2459300.354,-20.279,-16.393,0.101,3.886,2.077,0.002,2.079,8.79,0.095,0.006,1.756,0.323,1.756,0.321,0,7.159,80.376,152.239,-0.07,-14.399,0.731,0.742,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-27T12:00:00,2459301.355,-17.417,-13.637,0.063,3.779,2.043,0.001,2.044,8.751,0.061,0.002,1.746,0.298,1.746,0.297,0,7.143,80.366,158.181,-0.109,-5.838,0.582,0.592,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date_obs,date_jd,v_quiet,v_disc,v_phot,v_conv,f_bright,f_spot,f,Bobs,vphot_bright,vphot_spot,f_small,f_large,f_network,f_plage,f_nonconv,quiet_flux,ar_flux,conv_flux,pol_flux,pol_conv_flux,vconv_quiet,vconv_large,vconv_small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-26T12:00:00,2459300.354,-20.279,-16.393,0.101,3.886,2.077,0.002,2.079,8.79,0.095,0.006,1.756,0.323,1.756,0.321,0,7.159,80.376,152.239,-0.07,-14.399,0.731,0.742,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-27T12:00:00,2459301.355,-17.417,-13.637,0.063,3.779,2.043,0.001,2.044,8.751,0.061,0.002,1.746,0.298,1.746,0.297,0,7.143,80.366,158.181,-0.109,-5.838,0.582,0.592,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date_obs,date_jd,v_quiet,v_disc,v_phot,v_conv,f_bright,f_spot,f,Bobs,vphot_bright,vphot_spot,f_small,f_large,f_network,f_plage,f_nonconv,quiet_flux,ar_flux,conv_flux,pol_flux,pol_conv_flux,vconv_quiet,vconv_large,vconv_small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-29T12:00:00,2459303.354,-19.29,-15.608,0.092,3.682,2.024,0,2.024,8.619,0.092,-0.001,1.741,0.283,1.741,0.282,0,7.121,76.017,136.178,0.006,1.355,0.446,0.455,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-30T12:00:00,2459304.354,-17.609,-14.135,0.12,3.475,1.918,0,1.918,8.502,0.12,0,1.721,0.196,1.721,0.196,0,7.131,73.873,142.888,0.023,7.098,0.314,0.321,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-01T12:00:00,2459306.354,-18.47,-15.189,0.089,3.281,1.759,0,1.759,8.252,0.089,0,1.678,0.081,1.678,0.081,0,7.092,68.234,121.214,0.106,76.173,0.111,0.114,-0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-02T12:00:00,2459307.354,-17.445,-14.351,0.088,3.094,1.708,0,1.708,8.197,0.088,0,1.653,0.055,1.653,0.055,0,7.084,67.501,123.697,0.07,103.992,0.069,0.07,-0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-03T12:00:00,2459308.355,-18.112,-15.094,0.074,3.018,1.648,0,1.648,8.135,0.074,0,1.59,0.058,1.59,0.058,0,7.071,66.952,137.053,0.089,32.433,0.08,0.081,-0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-04T12:00:00,2459309.354,-18.443,-15.417,0.068,3.026,1.719,0.001,1.719,8.205,0.072,-0.003,1.65,0.069,1.65,0.069,0,7.076,68.275,150.666,-0.007,13.84,0.073,0.075,-0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-13T12:00:00,2459318.354,-18.894,-15.053,0.064,3.841,1.959,0.001,1.96,8.579,0.064,0,1.767,0.192,1.767,0.191,0,7.069,78.4,177.616,-0.142,3.978,0.573,0.58,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-14T12:00:00,2459319.354,-16.319,-12.393,0.05,3.926,2.016,0.001,2.017,8.693,0.052,-0.002,1.803,0.214,1.803,0.213,0,7.062,81.879,201.872,-0.288,-16.813,0.676,0.683,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-16T12:00:00,2459321.354,-16.915,-13.142,0.085,3.773,2.06,0,2.06,8.737,0.083,0.002,1.779,0.281,1.779,0.281,0,7.087,81.707,170.825,-0.279,8.025,0.515,0.525,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-17T12:00:00,2459322.354,-18.734,-15.22,0.119,3.514,2.027,0,2.027,8.627,0.116,0.003,1.797,0.23,1.797,0.23,0,7.103,77.475,153.344,-0.248,-1.003,0.181,0.188,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-18T12:00:00,2459323.354,-17.602,-13.959,0.159,3.643,2.066,0.002,2.068,8.671,0.148,0.011,1.825,0.243,1.825,0.242,0,7.103,78.197,158.385,-0.151,25.624,0.247,0.255,-0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
