date_obs,date_jd,Bobs,rv_sun,rv_model,rv_model_weather
2020-12-13T12:00:00,2459197,8.546,-639.5,105.68345,-640.1204358
2020-12-19T12:00:00,2459203,9.242,-639.15,107.01464,-639.6540881
2020-12-20T12:00:00,2459204,9.058,-640.3,106.44193,-639.8694611
2020-12-21T12:00:00,2459205,8.883,-639,106.19848,-639.9642816
2021-01-01T12:00:00,2459216,9.218,-638.9,106.53487,-639.8673461
2021-01-03T12:00:00,2459218,8.98,-639.45,106.60542,-639.846549
2021-01-05T12:00:00,2459220,8.736,-639.6,106.15264,-640.0122205
2021-01-08T12:00:00,2459223,8.409,-639.9,105.5128,-640.2547354
2021-01-09T12:00:00,2459224,8.336,-639.55,105.53455,-640.205739
2021-01-10T12:00:00,2459225,8.335,-639.1,105.42783,-640.2113788
2021-01-11T12:00:00,2459226,8.378,-639.4,105.33894,-640.227241
2021-01-12T12:00:00,2459227,8.611,-639.15,105.49987,-640.1704897
2021-01-15T12:00:00,2459230,8.661,-639.6,105.92516,-640.03901
2021-01-30T12:00:00,2459245,8.778,-639.25,106.0419,-640.0270252
2021-02-04T12:00:00,2459250,8.359,-641.05,105.4585,-640.2371108
2021-02-05T12:00:00,2459251,8.284,-641.3,105.44307,-640.2438082
2021-02-06T12:00:00,2459252,8.314,-640.6,105.39121,-640.2473331
2021-02-08T12:00:00,2459254,8.344,-639.5,105.42132,-640.2138463
2021-02-11T12:00:00,2459257,8.493,-640.5,105.72631,-640.1126809
2021-02-12T12:00:00,2459258,8.544,-639.55,105.90525,-640.0457073
2021-02-18T12:00:00,2459264,8.692,-639.9,106.1495,-639.9565267
2021-02-20T12:00:00,2459266,8.738,-639.4,105.97095,-640.0055232
2021-02-21T12:00:00,2459267,8.727,-638.9,106.16375,-639.9434845
2021-02-22T12:00:00,2459268,8.878,-639.9,106.30679,-639.9096452
2021-02-24T12:00:00,2459270,9.245,-639,106.34469,-639.8511314
2021-02-25T12:00:00,2459271,9.175,-639.3,105.94326,-639.9396071
2021-03-05T12:00:00,2459279,8.645,-639.9,105.96897,-640.0724968
2021-03-06T12:00:00,2459280,8.535,-639.8,105.81733,-640.1444052
2021-03-14T12:00:00,2459288,8.708,-639.4,106.19401,-639.9455994
2021-03-20T12:00:00,2459294,8.669,-640.2,106.23724,-639.9572317
2021-03-22T12:00:00,2459296,8.714,-639,105.97669,-640.0203279
2021-03-27T12:00:00,2459301,8.751,-640,106.16559,-639.9801437
2021-03-30T12:00:00,2459304,8.502,-641.15,106.01055,-640.0873015
2021-04-02T12:00:00,2459307,8.197,-639.6,105.58454,-640.2216011
2021-04-03T12:00:00,2459308,8.135,-640.4,105.4825,-640.2483906
2021-04-04T12:00:00,2459309,8.205,-640.95,105.4765,-640.2455706
2021-04-17T12:00:00,2459322,8.627,-640.1,106.04458,-640.0735542
2021-04-18T12:00:00,2459323,8.671,-639.8,106.25415,-640.0280827
2021-04-19T12:00:00,2459324,8.922,-640.4,106.64856,-639.8684036
2021-04-29T12:00:00,2459334,8.552,-640.45,105.73595,-640.1845894
2021-04-30T12:00:00,2459335,8.285,-640.15,105.50294,-640.2779999
2021-05-03T12:00:00,2459338,8.069,-641.45,105.37992,-640.2575554
2021-05-07T12:00:00,2459342,8.292,-641.2,105.88957,-640.0457073
2021-05-10T12:00:00,2459345,8.831,-640.3,106.57703,-639.9040053
2021-05-11T12:00:00,2459346,8.951,-640.6,106.80842,-639.8366792
2021-05-12T12:00:00,2459347,9.015,-640.15,106.80561,-639.7961426
2021-05-14T12:00:00,2459349,8.901,-640.1,106.36135,-639.8363268
2021-05-16T12:00:00,2459351,8.705,-640.9,106.0264,-640.0065807
2021-05-17T12:00:00,2459352,8.579,-641.1,106.08713,-640.013278
2021-05-19T12:00:00,2459354,8.686,-641.1,106.10068,-639.9656915
2021-05-20T12:00:00,2459355,8.812,-640.1,106.29254,-639.9226874
2021-05-21T12:00:00,2459356,9.088,-639.3,106.92426,-639.7690007
2021-05-27T12:00:00,2459362,9.048,-639.5,105.39281,-640.1796545
2021-05-27T12:00:00,2459362,9.048,-640,105.39281,-640.1796545
2021-05-29T12:00:00,2459364,8.261,-641,105.59921,-640.2134938
2021-05-31T12:00:00,2459366,8.541,-640.8,105.93104,-640.1080985
2021-06-03T12:00:00,2459369,9.015,-640.9,106.17093,-639.873691
2021-06-05T12:00:00,2459371,9.036,-638.9,106.23723,-639.8969555
2021-06-06T12:00:00,2459372,9.044,-639.05,106.44564,-639.8867332
2021-06-11T12:00:00,2459377,8.782,-641.1,106.2975,-639.9734464
2021-06-12T12:00:00,2459378,8.667,-641.2,106.08262,-639.990366
2021-06-20T12:00:00,2459386,9.277,-639.5,106.55621,-639.7947326
2021-06-21T12:00:00,2459387,9.03,-640.5,106.21808,-639.9050628
2021-06-26T12:00:00,2459392,9.194,-640.5,106.51736,-639.8120048
2021-06-27T12:00:00,2459393,9.696,-639.85,107.85458,-639.4503474